school,spell_name,type,circle,mana,description,class_name
Nature Magic,Animal Aspect Speed,utility,2,6,"Animal Aspect: Speed - +20 DEX, +15% movement speed Circle: 2 (6 mana)",NatureAnimalAspectSpeedSpell
Nature Magic,Avatarofthe Forest,shapeshift,8,50,"Avatar of the Forest - Become nature incarnate: Can shapeshift instantly and maintain spellcasting, all nature spells cost 50% less mana, immune to poison/fire, +40 all resists, summons 3 treant guardians Circle: 8 (50 mana)",NatureAvataroftheForestSpell
Nature Magic,Barkskin,buff,1,4,"Barkskin - +5 Physical Resistance, +5 Poison Resistance Circle: 1 (4 mana)",NatureBarkskinSpell
Nature Magic,Bear Form Lesser Shapeshift,shapeshift,3,9,"Bear Form (Lesser Shapeshift) - Transform into bear: +30 STR, +15 Physical Resist, melee attacks deal bonus damage, CANNOT CAST SPELLS Circle: 3 (9 mana)",NatureBearFormLesserShapeshiftSpell
Nature Magic,Detect Life,detection,1,4,"Detect Life - Reveals hidden creatures within 12 tiles, shows HP bars Circle: 1 (4 mana)",NatureDetectLifeSpell
Nature Magic,Earthquake,paralyze,5,14,"Earthquake - Deals 20-35 physical damage, knocks down enemies (stun 2s), destroys ice walls/barriers Circle: 5 (14 mana)",NatureEarthquakeSpell
Nature Magic,Entangle,paralyze,2,6,"Entangle - Roots target in place (cannot move, can still cast/attack) Circle: 2 (6 mana)",NatureEntangleSpell
Nature Magic,Forceof Nature,shapeshift,7,40,"Force of Nature - Shapeshifts rapidly between all forms (changes every 5s), gains all benefits simultaneously, can still cast spells Circle: 7 (40 mana)",NatureForceofNatureSpell
Nature Magic,Greater Regeneration,heal,5,14,Greater Regeneration - Heals 8-12 HP/tick (15 ticks = 120-180 total) Circle: 5 (14 mana),NatureGreaterRegenerationSpell
Nature Magic,Hawk Form Aerial Shapeshift,shapeshift,5,14,"Hawk Form (Aerial Shapeshift) - Transform into hawk: Can fly over obstacles, +40 DEX, -50% damage taken from ranged, weak melee, CANNOT CAST SPELLS Circle: 5 (14 mana)",NatureHawkFormAerialShapeshiftSpell
Nature Magic,Healing Grove,heal,4,11,Healing Grove - Allies in area heal 5-8 HP/tick Circle: 4 (11 mana),NatureHealingGroveSpell
Nature Magic,Hydra Form Legendary Shapeshift,shapeshift,8,50,"Hydra Form (Legendary Shapeshift) - Transform into multi-headed hydra: +70 STR, +30 DEX, triple attack, regenerates 15 HP/tick, immune to poison, CANNOT CAST SPELLS Circle: 8 (50 mana)",NatureHydraFormLegendaryShapeshiftSpell
Nature Magic,Living Fortress,heal,6,20,"Living Fortress - +20 Physical Resist, +20 Poison Resist, +15% max HP, immune to roots/slows, heals 5 HP/tick Circle: 6 (20 mana)",NatureLivingFortressSpell
Nature Magic,Natures Blessing,dot,3,9,"Nature's Blessing - +10% max HP, +5 HP regen/tick, +10 Poison Resist Circle: 3 (9 mana)",NatureNaturesBlessingSpell
Nature Magic,Natures Touch,heal,1,4,Nature's Touch - Heals 8-15 HP Circle: 1 (4 mana),NatureNaturesTouchSpell
Nature Magic,Natures Wrath,paralyze,6,20,"Nature's Wrath - Deals 35-55 damage (mix of poison/physical), applies poison DoT, roots all targets Circle: 6 (20 mana)",NatureNaturesWrathSpell
Nature Magic,Plague,dot,7,40,"Plague - Devastating poison DoT (10-15 damage/tick), spreads to nearby enemies within 3 tiles Circle: 7 (40 mana)",NaturePlagueSpell
Nature Magic,Poison Spores,dot,2,6,Poison Spores - DoT dealing 3-5 poison damage/tick (6 ticks) Circle: 2 (6 mana),NaturePoisonSporesSpell
Nature Magic,Primordial Restoration,heal,7,40,"Primordial Restoration - Massive AoE heal (80-120 HP), removes all poisons/curses, grants immunity to debuffs for 15s Circle: 7 (40 mana)",NaturePrimordialRestorationSpell
Nature Magic,Rejuvenation,heal,2,6,Rejuvenation - Heals 3-6 HP/tick (10 ticks = 30-60 total) Circle: 2 (6 mana),NatureRejuvenationSpell
Nature Magic,Spore Cloud,dot,5,14,"Spore Cloud - Poison cloud dealing 5-9 damage/tick, reduces visibility, -25% accuracy Circle: 5 (14 mana)",NatureSporeCloudSpell
Nature Magic,Strangling Vines,paralyze,4,11,"Strangling Vines - Target is rooted and takes 6-10 damage/tick, -20% attack speed Circle: 4 (11 mana)",NatureStranglingVinesSpell
Nature Magic,Summon Ancient Treant,summon,7,40,"Summon Ancient Treant - Summons Ancient Treant (1200 HP, powerful melee, AoE root, high resists) Circle: 7 (40 mana)",NatureSummonAncientTreantSpell
Nature Magic,Swarm,dot,6,20,"Swarm - Swarm of insects deals 6-10 damage/tick, -40% accuracy, interrupts spellcasting Circle: 6 (20 mana)",NatureSwarmSpell
Nature Magic,Thorn Apocalypse,paralyze,8,50,"Thorn Apocalypse - Thorns erupt from ground dealing 60-100 damage (50% poison, 50% physical), applies bleed and poison DoTs, roots all enemies for 5s Circle: 8 (50 mana)",NatureThornApocalypseSpell
Nature Magic,Thorn Dart,damage,1,4,"Thorn Dart - Deals 4-10 damage (50% poison, 50% physical) Circle: 1 (4 mana)",NatureThornDartSpell
Nature Magic,Thorn Volley,aoe_damage,3,9,"Thorn Volley - Deals 12-22 damage to all enemies in area (50% poison, 50% physical) Circle: 3 (9 mana)",NatureThornVolleySpell
Nature Magic,Toxic Bloom,dot,4,11,"Toxic Bloom - Explodes for 15-25 poison damage, applies poison DoT (5 damage/tick for 10s) Circle: 4 (11 mana)",NatureToxicBloomSpell
Nature Magic,Treant Form Greater Shapeshift,shapeshift,6,20,"Treant Form (Greater Shapeshift) - Transform into treant: +50 STR, +30 Physical Resist, +25% max HP, AoE root on attacks, CANNOT CAST SPELLS Circle: 6 (20 mana)",NatureTreantFormGreaterShapeshiftSpell
Nature Magic,Wild Growth,slow,3,9,Wild Growth - Creates thick vegetation that blocks line of sight and slows enemies 30% Circle: 3 (9 mana),NatureWildGrowthSpell
Nature Magic,Wolf Form Advanced Shapeshift,shapeshift,4,11,"Wolf Form (Advanced Shapeshift) - Transform into wolf: +25 DEX, +30% movement speed, +15% attack speed, bleed attacks, CANNOT CAST SPELLS Circle: 4 (11 mana)",NatureWolfFormAdvancedShapeshiftSpell
Nature Magic,World Trees Embrace,slow,8,50,"World Tree's Embrace - Massive tree grows from caster: Allies gain +50% HP, 10 HP/tick regen, all resists +25. Enemies take 8-15 damage/tick and are slowed 75% Circle: 8 (50 mana)",NatureWorldTreesEmbraceSpell
Necromancy,mancy Animate Bone,summon,1,4,Animate Bone - Animate Bone Circle: 1 (4 mana),NecromancyAnimateBoneSpell
Necromancy,mancy Apocalypseof Death,utility,8,32,Apocalypse of Death - Apocalypse of Death Circle: 8 (32 mana),NecromancyApocalypseofDeathSpell
Necromancy,mancy Archlich Ascension,utility,8,32,Archlich Ascension - Archlich Ascension Circle: 8 (32 mana),NecromancyArchlichAscensionSpell
Necromancy,mancy Armyofthe Dead,utility,7,28,Army of the Dead - Army of the Dead Circle: 7 (28 mana),NecromancyArmyoftheDeadSpell
Necromancy,mancy Bone Armor,buff,3,12,Bone Armor - Bone Armor Circle: 3 (12 mana),NecromancyBoneArmorSpell
Necromancy,mancy Bone Prison,utility,7,28,Bone Prison - Bone Prison Circle: 7 (28 mana),NecromancyBonePrisonSpell
Necromancy,mancy Bone Shard,utility,2,8,Bone Shard - Bone Shard Circle: 2 (8 mana),NecromancyBoneShardSpell
Necromancy,mancy Bone Wall,utility,5,20,Bone Wall - Bone Wall Circle: 5 (20 mana),NecromancyBoneWallSpell
Necromancy,mancy Corpse Explosion,utility,4,16,Corpse Explosion - Corpse Explosion Circle: 4 (16 mana),NecromancyCorpseExplosionSpell
Necromancy,mancy Death Bolt,utility,1,4,Death Bolt - Death Bolt Circle: 1 (4 mana),NecromancyDeathBoltSpell
Necromancy,mancy Death Coil,utility,3,12,Death Coil - Death Coil Circle: 3 (12 mana),NecromancyDeathCoilSpell
Necromancy,mancy Death Grip,utility,4,16,Death Grip - Death Grip Circle: 4 (16 mana),NecromancyDeathGripSpell
Necromancy,mancy Death Knights,utility,6,24,Death Knights - Death Knights Circle: 6 (24 mana),NecromancyDeathKnightsSpell
Necromancy,mancy Death Wave,utility,7,28,Death Wave - Death Wave Circle: 7 (28 mana),NecromancyDeathWaveSpell
Necromancy,mancy Deathand Decay,utility,5,20,Death and Decay - Death and Decay Circle: 5 (20 mana),NecromancyDeathandDecaySpell
Necromancy,mancy Deaths Door,utility,8,32,Death's Door - Death's Door Circle: 8 (32 mana),NecromancyDeathsDoorSpell
Necromancy,mancy Deathsight,utility,1,4,Deathsight - Deathsight Circle: 1 (4 mana),NecromancyDeathsightSpell
Necromancy,mancy Decay,utility,2,8,Decay - Decay Circle: 2 (8 mana),NecromancyDecaySpell
Necromancy,mancy Demi Lich Transformation,shapeshift,7,28,Demi-Lich Transformation - Demi-Lich Transformation Circle: 7 (28 mana),NecromancyDemiLichTransformationSpell
Necromancy,mancy Lich Form,shapeshift,6,24,Lich Form - Lich Form Circle: 6 (24 mana),NecromancyLichFormSpell
Necromancy,mancy Life Siphon,utility,1,4,Life Siphon - Life Siphon Circle: 1 (4 mana),NecromancyLifeSiphonSpell
Necromancy,mancy Mass Raise,utility,3,12,Mass Raise - Mass Raise Circle: 3 (12 mana),NecromancyMassRaiseSpell
Necromancy,mancy Plague Cloud,utility,6,24,Plague Cloud - Plague Cloud Circle: 6 (24 mana),NecromancyPlagueCloudSpell
Necromancy,mancy Raise Bone Golem,utility,5,20,Raise Bone Golem - Raise Bone Golem Circle: 5 (20 mana),NecromancyRaiseBoneGolemSpell
Necromancy,mancy Raise Zombie,utility,2,8,Raise Zombie - Raise Zombie Circle: 2 (8 mana),NecromancyRaiseZombieSpell
Necromancy,mancy Skeletal Mage,utility,4,16,Skeletal Mage - Skeletal Mage Circle: 4 (16 mana),NecromancySkeletalMageSpell
Necromancy,mancy Soul Harvest,utility,3,12,Soul Harvest - Soul Harvest Circle: 3 (12 mana),NecromancySoulHarvestSpell
Necromancy,mancy Soul Link,utility,5,20,Soul Link - Soul Link Circle: 5 (20 mana),NecromancySoulLinkSpell
Necromancy,mancy Soul Shield,utility,2,8,Soul Shield - Soul Shield Circle: 2 (8 mana),NecromancySoulShieldSpell
Necromancy,mancy Summon Undead Dragon,summon,8,32,Summon Undead Dragon - Summon Undead Dragon Circle: 8 (32 mana),NecromancySummonUndeadDragonSpell
Necromancy,mancy Unholy Frenzy,utility,6,24,Unholy Frenzy - Unholy Frenzy Circle: 6 (24 mana),NecromancyUnholyFrenzySpell
Necromancy,mancy Vampiric Touch,utility,4,16,Vampiric Touch - Vampiric Touch Circle: 4 (16 mana),NecromancyVampiricTouchSpell
Shamanic,ic Ancestors Blessing,utility,7,28,Ancestor's Blessing - Ancestor's Blessing Circle: 7 (28 mana),ShamanicAncestorsBlessingSpell
Shamanic,ic Ancestral Spirit,utility,5,20,Ancestral Spirit - Ancestral Spirit Circle: 5 (20 mana),ShamanicAncestralSpiritSpell
Shamanic,ic Apocalyptic Chain Lightning,utility,8,32,Apocalyptic Chain Lightning - Apocalyptic Chain Lightning Circle: 8 (32 mana),ShamanicApocalypticChainLightningSpell
Shamanic,ic Ascendance,utility,7,28,Ascendance - Ascendance Circle: 7 (28 mana),ShamanicAscendanceSpell
Shamanic,ic Chain Heal,heal,4,16,Chain Heal - Chain Heal Circle: 4 (16 mana),ShamanicChainHealSpell
Shamanic,ic Chain Lightning,utility,2,8,Chain Lightning - Chain Lightning Circle: 2 (8 mana),ShamanicChainLightningSpell
Shamanic,ic Earth Elemental,utility,5,20,Earth Elemental - Earth Elemental Circle: 5 (20 mana),ShamanicEarthElementalSpell
Shamanic,ic Earth Shield,utility,3,12,Earth Shield - Earth Shield Circle: 3 (12 mana),ShamanicEarthShieldSpell
Shamanic,ic Elemental Fury,utility,6,24,Elemental Fury - Elemental Fury Circle: 6 (24 mana),ShamanicElementalFurySpell
Shamanic,ic Fire Totem,utility,2,8,Fire Totem - Fire Totem Circle: 2 (8 mana),ShamanicFireTotemSpell
Shamanic,ic Flame Shock,utility,4,16,Flame Shock - Flame Shock Circle: 4 (16 mana),ShamanicFlameShockSpell
Shamanic,ic Four Totems,utility,7,28,Four Totems - Four Totems Circle: 7 (28 mana),ShamanicFourTotemsSpell
Shamanic,ic Ghost Wolf Form,shapeshift,1,4,Ghost Wolf Form - Ghost Wolf Form Circle: 1 (4 mana),ShamanicGhostWolfFormSpell
Shamanic,ic Healing Stream,heal,1,4,Healing Stream - Healing Stream Circle: 1 (4 mana),ShamanicHealingStreamSpell
Shamanic,ic Lava Burst,utility,4,16,Lava Burst - Lava Burst Circle: 4 (16 mana),ShamanicLavaBurstSpell
Shamanic,ic Lightning Bolt,utility,1,4,Lightning Bolt - Lightning Bolt Circle: 1 (4 mana),ShamanicLightningBoltSpell
Shamanic,ic Lightning Storm,utility,3,12,Lightning Storm - Lightning Storm Circle: 3 (12 mana),ShamanicLightningStormSpell
Shamanic,ic Maelstrom,utility,5,20,Maelstrom - Maelstrom Circle: 5 (20 mana),ShamanicMaelstromSpell
Shamanic,ic Mana Spring Totem,utility,4,16,Mana Spring Totem - Mana Spring Totem Circle: 4 (16 mana),ShamanicManaSpringTotemSpell
Shamanic,ic Mega Chain Lightning,utility,6,24,Mega Chain Lightning - Mega Chain Lightning Circle: 6 (24 mana),ShamanicMegaChainLightningSpell
Shamanic,ic Purification,utility,2,8,Purification - Purification Circle: 2 (8 mana),ShamanicPurificationSpell
Shamanic,ic Shaman Lord,utility,8,32,Shaman Lord - Shaman Lord Circle: 8 (32 mana),ShamanicShamanLordSpell
Shamanic,ic Spirit Link Totem,utility,6,24,Spirit Link Totem - Spirit Link Totem Circle: 6 (24 mana),ShamanicSpiritLinkTotemSpell
Shamanic,ic Spirit Strike,utility,2,8,Spirit Strike - Spirit Strike Circle: 2 (8 mana),ShamanicSpiritStrikeSpell
Shamanic,ic Spiritofthe Wild,utility,8,32,Spirit of the Wild - Spirit of the Wild Circle: 8 (32 mana),ShamanicSpiritoftheWildSpell
Shamanic,ic Strength Totem,utility,1,4,Strength Totem - Strength Totem Circle: 1 (4 mana),ShamanicStrengthTotemSpell
Shamanic,ic Summon Greater Earth Elemental,summon,7,28,Summon Greater Earth Elemental - Summon Greater Earth Elemental Circle: 7 (28 mana),ShamanicSummonGreaterEarthElementalSpell
Shamanic,ic Summon Spirit Wolf,summon,3,12,Summon Spirit Wolf - Summon Spirit Wolf Circle: 3 (12 mana),ShamanicSummonSpiritWolfSpell
Shamanic,ic Thunderstorm Totem,utility,5,20,Thunderstorm Totem - Thunderstorm Totem Circle: 5 (20 mana),ShamanicThunderstormTotemSpell
Shamanic,ic Totem Army,utility,8,32,Totem Army - Totem Army Circle: 8 (32 mana),ShamanicTotemArmySpell
Shamanic,ic Totemic Recall,teleport,3,12,Totemic Recall - Totemic Recall Circle: 3 (12 mana),ShamanicTotemicRecallSpell
Shamanic,ic Totemof Wrath,utility,6,24,Totem of Wrath - Totem of Wrath Circle: 6 (24 mana),ShamanicTotemofWrathSpell
Summoning,ing Arcane Bolt,utility,1,4,Arcane Bolt - Arcane Bolt Circle: 1 (4 mana),SummoningArcaneBoltSpell
Summoning,ing Armyof Beasts,utility,6,24,Army of Beasts - Army of Beasts Circle: 6 (24 mana),SummoningArmyofBeastsSpell
Summoning,ing Avatarof Summoning,summon,8,32,Avatar of Summoning - Avatar of Summoning Circle: 8 (32 mana),SummoningAvatarofSummoningSpell
Summoning,ing Bind Beast,utility,3,12,Bind Beast - Bind Beast Circle: 3 (12 mana),SummoningBindBeastSpell
Summoning,ing Empower Summon,summon,1,4,Empower Summon - Empower Summon Circle: 1 (4 mana),SummoningEmpowerSummonSpell
Summoning,ing Greater Heal Summon,summon,5,20,Greater Heal Summon - Greater Heal Summon Circle: 5 (20 mana),SummoningGreaterHealSummonSpell
Summoning,ing Mass Empower,utility,3,12,Mass Empower - Mass Empower Circle: 3 (12 mana),SummoningMassEmpowerSpell
Summoning,ing Mass Heal Summons,summon,6,24,Mass Heal Summons - Mass Heal Summons Circle: 6 (24 mana),SummoningMassHealSummonsSpell
Summoning,ing Mend Summon,summon,2,8,Mend Summon - Mend Summon Circle: 2 (8 mana),SummoningMendSummonSpell
Summoning,ing Planar Convergence,utility,8,32,Planar Convergence - Planar Convergence Circle: 8 (32 mana),SummoningPlanarConvergenceSpell
Summoning,ing Sacrifice Summon,summon,7,28,Sacrifice Summon - Sacrifice Summon Circle: 7 (28 mana),SummoningSacrificeSummonSpell
Summoning,ing Summon Air Elemental,summon,3,12,Summon Air Elemental - Summon Air Elemental Circle: 3 (12 mana),SummoningSummonAirElementalSpell
Summoning,ing Summon Bear,summon,3,12,Summon Bear - Summon Bear Circle: 3 (12 mana),SummoningSummonBearSpell
Summoning,ing Summon Drake,summon,4,16,Summon Drake - Summon Drake Circle: 4 (16 mana),SummoningSummonDrakeSpell
Summoning,ing Summon Earth Elemental,summon,4,16,Summon Earth Elemental - Summon Earth Elemental Circle: 4 (16 mana),SummoningSummonEarthElementalSpell
Summoning,ing Summon Elemental Lord,summon,7,28,Summon Elemental Lord - Summon Elemental Lord Circle: 7 (28 mana),SummoningSummonElementalLordSpell
Summoning,ing Summon Fire Sprite,summon,2,8,Summon Fire Sprite - Summon Fire Sprite Circle: 2 (8 mana),SummoningSummonFireSpriteSpell
Summoning,ing Summon Frenzy,summon,4,16,Summon Frenzy - Summon Frenzy Circle: 4 (16 mana),SummoningSummonFrenzySpell
Summoning,ing Summon Greater Dragon,summon,7,28,Summon Greater Dragon - Summon Greater Dragon Circle: 7 (28 mana),SummoningSummonGreaterDragonSpell
Summoning,ing Summon Hydra,summon,5,20,Summon Hydra - Summon Hydra Circle: 5 (20 mana),SummoningSummonHydraSpell
Summoning,ing Summon Phoenix,summon,6,24,Summon Phoenix - Summon Phoenix Circle: 6 (24 mana),SummoningSummonPhoenixSpell
Summoning,ing Summon Rabbit,summon,1,4,Summon Rabbit - Summon Rabbit Circle: 1 (4 mana),SummoningSummonRabbitSpell
Summoning,ing Summon Shield,summon,2,8,Summon Shield - Summon Shield Circle: 2 (8 mana),SummoningSummonShieldSpell
Summoning,ing Summon Storm Elemental,summon,5,20,Summon Storm Elemental - Summon Storm Elemental Circle: 5 (20 mana),SummoningSummonStormElementalSpell
Summoning,ing Summon Titan,summon,8,32,Summon Titan - Summon Titan Circle: 8 (32 mana),SummoningSummonTitanSpell
Summoning,ing Summon Void Elemental,summon,6,24,Summon Void Elemental - Summon Void Elemental Circle: 6 (24 mana),SummoningSummonVoidElementalSpell
Summoning,ing Summon Wisp,summon,1,4,Summon Wisp - Summon Wisp Circle: 1 (4 mana),SummoningSummonWispSpell
Summoning,ing Summon Wolf,summon,2,8,Summon Wolf - Summon Wolf Circle: 2 (8 mana),SummoningSummonWolfSpell
Summoning,ing Summoners Apocalypse,summon,8,32,Summoner's Apocalypse - Summoner's Apocalypse Circle: 8 (32 mana),SummoningSummonersApocalypseSpell
Summoning,ing Swarmof Creatures,utility,7,28,Swarm of Creatures - Swarm of Creatures Circle: 7 (28 mana),SummoningSwarmofCreaturesSpell
Summoning,ing Symbiotic Link,utility,5,20,Symbiotic Link - Symbiotic Link Circle: 5 (20 mana),SummoningSymbioticLinkSpell
Summoning,ing Unsummon,summon,4,16,Unsummon - Unsummon Circle: 4 (16 mana),SummoningUnsummonSpell
