school,spell_name,type,circle,mana,damage,damage_type,healing,duration,area,cooldown,effect_1,effect_2,effect_3,gameplay,description,class_name
Bardic,Ballad of Health,heal,4,16,,,6-10,,,,CHANNELED,,,Target friendly player or self. Restores health.,Circle: 4 (16 mana) | [Design] CHANNELED: Heals 6-10 HP/tick to allies,BardicBalladofHealthSpell
Bardic,Cacophony,aoe_damage,4,16,,,,,AoE,,Confusion,,,Cast at location. All enemies in area take damage.,"Circle: 4 (16 mana) | [Design] AoE confusion, enemies attack randomly (10s)",BardicCacophonySpell
Bardic,Crescendo,dot,6,24,,,,,AoE,,CHANNELED,,,Apply to enemy. Target takes damage over time for the duration.,"Circle: 6 (24 mana) | [Design] Channeled AoE damage, ramps up: 5→10→15→20→25/tick",BardicCrescendoSpell
Bardic,Destructive Resonance,aoe_damage,6,24,35-60,sonic,,,AoE,,,,,Cast at location. All enemies in area take damage.,"Circle: 6 (24 mana) | [Design] 8 tile AoE, 35-60 sonic damage, shatters equipment",BardicDestructiveResonanceSpell
Bardic,Dirge of Weakness,utility,2,8,,,,,,,-10 STR,,,Cast to activate spell effect.,Circle: 2 (8 mana) | [Design] Enemy -10 STR (25s),BardicDirgeofWeaknessSpell
Bardic,Discordant Note,damage,1,4,5-11,sonic,,,,,,,,Target enemy and cast to deal 5-11 damage.,Circle: 1 (4 mana) | [Design] 5-11 sonic damage,BardicDiscordantNoteSpell
Bardic,Epic Ballad,buff,6,24,,,,,,,CHANNELED,+25% all stats,,Cast on friendly target or self. Enhances stats or resistances for the duration.,"Circle: 6 (24 mana) | [Design] CHANNELED: Allies +25% all stats, +20 all resists",BardicEpicBalladSpell
Bardic,Eternal Symphony,buff,8,32,,,,,,,CHANNELED,,,Cast on friendly target or self. Enhances stats or resistances for the duration.,"Circle: 8 (32 mana) | [Design] CHANNELED: Ultimate buff (party unkillable while channeling, max 15s)",BardicEternalSymphonySpell
Bardic,Inspire Accuracy,utility,1,4,,,,,,,+10% accuracy,,,Cast to activate spell effect.,Circle: 1 (4 mana) | [Design] Ally +10% accuracy (30s),BardicInspireAccuracySpell
Bardic,Inspire Heroism,damage,4,16,,,,30s,,,+30% damage,,,Target enemy and cast to deal  damage.,Circle: 4 (16 mana) | [Design] Target ally +30% damage for 30s,BardicInspireHeroismSpell
Bardic,Legendary Performance,shapeshift,7,28,,,,,,,,,,Cast on self. Caster transforms into different form with new abilities.,Circle: 7 (28 mana) | [Design] Transform: All songs can be cast while moving/casting (60s),BardicLegendaryPerformanceSpell
Bardic,Lullaby,utility,1,4,,,,,,,-20% attack speed,,,Cast to activate spell effect.,"Circle: 1 (4 mana) | [Design] Enemy becomes drowsy, -20% attack speed (20s)",BardicLullabySpell
Bardic,Maestro Ascendant,shapeshift,8,32,,,,,,,,,,Cast on self. Caster transforms into different form with new abilities.,"Circle: 8 (32 mana) | [Design] Ultimate form: All songs cost no mana, can channel 3 songs simultaneously",BardicMaestroAscendantSpell
Bardic,Mass Inspire,utility,5,20,,,,,,,+15% attack speed,,,Cast to activate spell effect.,Circle: 5 (20 mana) | [Design] All allies +15% attack speed (45s),BardicMassInspireSpell
Bardic,Mesmerize,charm,3,12,,,,8s,,,,,,Target enemy creature. Subject fights for you temporarily.,Circle: 3 (12 mana) | [Design] Enemy charmed for 8s (attacks allies),BardicMesmerizeSpell
Bardic,Ode to Devastation,summon,8,32,80-140,sonic,,,,,,,,Cast to summon creature. Summoned creature fights for you.,"Circle: 8 (32 mana) | [Design] Screen-wide, 80-140 sonic damage, destroys all barriers/summons",BardicOdetoDevastationSpell
Bardic,Rejuvenating Melody,heal,2,8,,,3-5,30s,,,,,,Target friendly player or self. Restores health.,Circle: 2 (8 mana) | [Design] Ally heals 3-5 HP/tick for 30s,BardicRejuvenatingMelodySpell
Bardic,Requiem,dot,5,20,8-14,sonic,,,,,,,,Apply to enemy. Target takes damage over time for the duration.,"Circle: 5 (20 mana) | [Design] DoT, 8-14 sonic damage/tick, silences (12s)",BardicRequiemSpell
Bardic,Shattering Scream,damage,5,20,28-48,sonic,,,,,,,,Target enemy and cast to deal 28-48 damage.,"Circle: 5 (20 mana) | [Design] 28-48 sonic damage, destroys barriers/shields",BardicShatteringScreamSpell
Bardic,Song of Courage,utility,1,4,,,,,,,,,,Cast to activate spell effect.,Circle: 1 (4 mana) | [Design] Allies +5 to all stats (30s),BardicSongofCourageSpell
Bardic,Song of Fear,aoe_damage,6,24,,,,,AoE,,,,,Cast at location. All enemies in area take damage.,"Circle: 6 (24 mana) | [Design] AoE, all enemies flee in terror (8s)",BardicSongofFearSpell
Bardic,Song of Resilience,buff,2,8,,,,,,,+10 Physical Resist,,,Cast on friendly target or self. Enhances stats or resistances for the duration.,Circle: 2 (8 mana) | [Design] Allies +10 Physical Resist (45s),BardicSongofResilienceSpell
Bardic,Song of Sanctuary,damage,5,20,,,,,,,CHANNELED,,,Target enemy and cast to deal  damage.,Circle: 5 (20 mana) | [Design] CHANNELED: Allies take 30% less damage,BardicSongofSanctuarySpell
Bardic,Song of Swiftness,utility,3,12,,,,,,,+25% movement speed,,,Cast to activate spell effect.,Circle: 3 (12 mana) | [Design] Allies +25% movement speed (45s),BardicSongofSwiftnessSpell
Bardic,Songof the Ancients,utility,7,28,,,,,,,,,,Cast to activate spell effect.,Song of the Ancients - Song of the Ancients Circle: 7 (28 mana),BardicSongoftheAncientsSpell
Bardic,Sonic Apocalypse,damage,7,28,45-75,sonic,,,,,Confusion,,,Target enemy and cast to deal 45-75 damage.,"Circle: 7 (28 mana) | [Design] Screen-wide, 45-75 sonic damage, mass confusion",BardicSonicApocalypseSpell
Bardic,Sonic Burst,aoe_damage,2,8,10-18,sonic,,,AoE,,,,,Cast at location. All enemies in area take damage.,"Circle: 2 (8 mana) | [Design] 10-18 sonic damage, 2 tile AoE",BardicSonicBurstSpell
Bardic,Sonic Wave,damage,4,16,20-35,sonic,,,,,,,,Target enemy and cast to deal 20-35 damage.,"Circle: 4 (16 mana) | [Design] Cone, 20-35 sonic damage, pushes enemies back",BardicSonicWaveSpell
Bardic,Symphony of Destruction,paralyze,7,28,50-85,sonic,,,AoE,,Stun,,,Target enemy. Subject is rooted to the ground and cannot move for the duration.,"Circle: 7 (28 mana) | [Design] 12 tile AoE, 50-85 sonic damage, AoE stun 4s",BardicSymphonyofDestructionSpell
Bardic,Thunderous Chord,paralyze,3,12,18-30,sonic,,,,,,,,Target enemy. Subject is rooted to the ground and cannot move for the duration.,"Circle: 3 (12 mana) | [Design] 18-30 sonic damage, stuns 2s",BardicThunderousChordSpell
Bardic,Voiceof the Dragon,utility,8,32,,,,,,,,,,Cast to activate spell effect.,Voice of the Dragon - Voice of the Dragon Circle: 8 (32 mana),BardicVoiceoftheDragonSpell
Bardic,War Song,damage,3,12,,,,,,,CHANNELED,+15% damage,,Target enemy and cast to deal  damage.,Circle: 3 (12 mana) | [Design] CHANNELED: Allies +15% damage while singing,BardicWarSongSpell
Dark Magic,Apocalyptic Chaos,utility,7,28,,,,,,,,,,Cast to activate spell effect.,Circle: 7 (28 mana) | [Design] Screen-wide random catastrophic effects,DarkApocalypticChaosSpell
Dark Magic,Chaos Bolt,damage,2,8,8-25,,,,,,-25 damage,,,Target enemy and cast to deal 8-25 damage.,Circle: 2 (8 mana) | [Design] Random 8-25 damage (chaotic),DarkChaosBoltSpell
Dark Magic,Chaos Incarnate,utility,8,32,,,,,,,,,,Cast to activate spell effect.,Circle: 8 (32 mana) | [Design] Every spell cast triggers random bonus effect (30s),DarkChaosIncarnateSpell
Dark Magic,Chaos Rift,slow,4,16,,,,,AoE,,Slow,Fear,Confusion,Target enemy. Subject's movement and attack speed are reduced for the duration.,"Circle: 4 (16 mana) | [Design] Random AoE effects (damage, fear, slow, confusion)",DarkChaosRiftSpell
Dark Magic,Chaos Storm,aoe_damage,6,24,,,,,8 tile radius,,,,,Cast at location. All enemies in 8 tile radius take damage.,"Circle: 6 (24 mana) | [Design] 8 tile radius, random devastating effects",DarkChaosStormSpell
Dark Magic,Corruption,dot,3,12,,,,,,,,,,Apply to enemy. Target takes damage over time for the duration.,"Circle: 3 (12 mana) | [Design] DoT 6-10 shadow/tick, spreads on death",DarkCorruptionSpell
Dark Magic,Dark Apotheosis,shapeshift,8,32,,,,,,,Fear,Charm,,Cast on self. Caster transforms into different form with new abilities.,"Circle: 8 (32 mana) | [Design] Ultimate form: Immune to fear/charm, demons unkillable, all spells cost HP instead of mana",DarkDarkApotheosisSpell
Dark Magic,Dark Portal,teleport,6,24,,,,,15 tile range,,,,,Cast to instantly move to target location.,Circle: 6 (24 mana) | [Design] Teleport entire party (15 tile range),DarkDarkPortalSpell
Dark Magic,Demonic Ascension,damage,7,28,,,,,,,+60 STR,,,Target enemy and cast to deal  damage.,"Circle: 7 (28 mana) | [Design] Become demon: +60 STR, +40% all damage, demon abilities",DarkDemonicAscensionSpell
Dark Magic,Demonic Pact,damage,3,12,,,,45s,,,,,,Target enemy and cast to deal  damage.,"Circle: 3 (12 mana) | [Design] Sacrifice 25% HP, +30% spell damage for 45s",DarkDemonicPactSpell
Dark Magic,Demonic Sacrifice,heal,5,20,,,,,,,+25% damage,,,Target friendly player or self. Restores health.,"Circle: 5 (20 mana) | [Design] Kill demon, heal 50% HP and +25% damage",DarkDemonicSacrificeSpell
Dark Magic,Demonic Sight,detection,1,4,,,,,,,,,,Cast to reveal hidden enemies or objects in area.,"Circle: 1 (4 mana) | [Design] See in darkness, detect holy magic",DarkDemonicSightSpell
Dark Magic,Dra in Soul,utility,2,8,,,,,,,,,,Cast to activate spell effect.,Drain Soul - Drain Soul Circle: 2 (8 mana),DarkDrainSoulSpell
Dark Magic,Fear Wave,utility,3,12,,,,5s,,,Fear,,,Cast to activate spell effect.,"Circle: 3 (12 mana) | [Design] Cone, causes fear for 5s",DarkFearWaveSpell
Dark Magic,Fel Armor,damage,5,20,,,,,,,,,,Target enemy and cast to deal  damage.,"Circle: 5 (20 mana) | [Design] +20 Shadow Resist, converts damage to mana",DarkFelArmorSpell
Dark Magic,Lesser Demon,summon,2,8,,,,,,,,,,Cast to summon creature. Summoned creature fights for you.,"Circle: 2 (8 mana) | [Design] Summon Imp (200 HP, weak attacks)",DarkLesserDemonSpell
Dark Magic,Life Tap,heal,1,4,,,,,,,,,,Target friendly player or self. Restores health.,"Circle: 1 (4 mana) | [Design] Sacrifice 10 HP, restore 15 mana",DarkLifeTapSpell
Dark Magic,Mass Fear,aoe_damage,5,20,,,,,6 tile radius,,,,,Cast at location. All enemies in 6 tile radius take damage.,"Circle: 5 (20 mana) | [Design] 6 tile radius, all enemies flee 6s",DarkMassFearSpell
Dark Magic,Minor Fear,utility,1,4,,,,3s,,,,,,Cast to activate spell effect.,Circle: 1 (4 mana) | [Design] Target flees for 3s,DarkMinorFearSpell
Dark Magic,Shadow Bolt,damage,1,4,,,,,,,,,,Target enemy and cast to deal  damage.,Circle: 1 (4 mana) | [Design] 6-12 shadow damage,DarkShadowBoltSpell
Dark Magic,Shadow Chains,paralyze,4,16,,,,,,,Root,,,Target enemy. Subject is rooted to the ground and cannot move for the duration.,Circle: 4 (16 mana) | [Design] Root + 8-15 shadow damage/tick,DarkShadowChainsSpell
Dark Magic,Shadow Nova,aoe_damage,3,12,,,,,AoE,,,,,Cast at location. All enemies in area take damage.,"Circle: 3 (12 mana) | [Design] 4 tile AoE, 12-24 shadow damage",DarkShadowNovaSpell
Dark Magic,Shadow Orb,utility,5,20,,,,,,,,,,Cast to activate spell effect.,"Circle: 5 (20 mana) | [Design] Floating orb, auto-attacks enemies (10s)",DarkShadowOrbSpell
Dark Magic,Shadow Step,teleport,2,8,,,,,,,,,,Cast to instantly move to target location.,Circle: 2 (8 mana) | [Design] Teleport to shadows (8 tiles),DarkShadowStepSpell
Dark Magic,Shadowform,shapeshift,6,24,,,,,,,,,,Cast on self. Caster transforms into different form with new abilities.,"Circle: 6 (24 mana) | [Design] Become shadow: +50% shadow damage, immune to physical",DarkShadowformSpell
Dark Magic,Soul Burn,dot,4,16,30-50,,,,,,-50 damage,,,Apply to enemy. Target takes damage over time for the duration.,"Circle: 4 (16 mana) | [Design] Consumes soul shard, deals 30-50 damage",DarkSoulBurnSpell
Dark Magic,Soul Harvest,aoe_damage,7,28,,,,,AoE,,,,,Cast at location. All enemies in area take damage.,"Circle: 7 (28 mana) | [Design] AoE drain, creates soul shards from kills",DarkSoulHarvestSpell
Dark Magic,Summ on Dem on Prince,summon,8,32,,,,,,,,,,Cast to summon creature. Summoned creature fights for you.,Summon Demon Prince - Summon Demon Prince Circle: 8 (32 mana),DarkSummonDemonPrinceSpell
Dark Magic,Summ on Pit Lord,summon,7,28,,,,,,,,,,Cast to summon creature. Summoned creature fights for you.,Summon Pit Lord - Summon Pit Lord Circle: 7 (28 mana),DarkSummonPitLordSpell
Dark Magic,Summ on Succubus,summon,6,24,,,,,,,,,,Cast to summon creature. Summoned creature fights for you.,Summon Succubus - Summon Succubus Circle: 6 (24 mana),DarkSummonSuccubusSpell
Dark Magic,Summ on Voidwalker,summon,4,16,,,,,,,,,,Cast to summon creature. Summoned creature fights for you.,Summon Voidwalker - Summon Voidwalker Circle: 4 (16 mana),DarkSummonVoidwalkerSpell
Dark Magic,Void Collapse,damage,8,32,100-180,,,,,,-180 damage,,,Target enemy and cast to deal 100-180 damage.,"Circle: 8 (32 mana) | [Design] Creates black hole, 10 tiles, pulls enemies in, 100-180 damage",DarkVoidCollapseSpell
Divination,Barrier of Light,damage,4,16,,,,,,,,,,Target enemy and cast to deal  damage.,"Circle: 4 (16 mana) | [Design] Party shield, absorbs 50 damage each",DivinationBarrierofLightSpell
Divination,Chrono Lord,charm,7,28,,,,,,,,,,Target enemy creature. Subject fights for you temporarily.,"Circle: 7 (28 mana) | [Design] Control time: rewind cooldowns, double spell speed",DivinationChronoLordSpell
Divination,Clarity,utility,1,4,,,,30s,,,+5 INT,,,Cast to activate spell effect.,Circle: 1 (4 mana) | [Design] +5 INT for 30s,DivinationClaritySpell
Divination,Cosmic Rift,damage,7,28,55-90,,,,,,-90 damage,,,Target enemy and cast to deal 55-90 damage.,"Circle: 7 (28 mana) | [Design] Creates energy rift, 12 tiles, pulls enemies, 55-90 damage",DivinationCosmicRiftSpell
Divination,Crystal Barrage,aoe_damage,5,20,25-42,energy,,,AoE,,,,,Cast at location. All enemies in area take damage.,"Circle: 5 (20 mana) | [Design] 5 tile AoE, 25-42 energy damage",DivinationCrystalBarrageSpell
Divination,Crystal Dart,damage,1,4,5-11,energy,,,,,,,,Target enemy and cast to deal 5-11 damage.,Circle: 1 (4 mana) | [Design] 5-11 energy damage,DivinationCrystalDartSpell
Divination,Crystal Fortress,aoe_damage,6,24,,,,,AoE,,,,,Cast at location. All enemies in area take damage.,"Circle: 6 (24 mana) | [Design] AoE shield, 200 HP absorb, reflects damage",DivinationCrystalFortressSpell
Divination,Crystal Maze,utility,8,32,,,,,,,,,,Cast to activate spell effect.,"Circle: 8 (32 mana) | [Design] Traps enemies in crystal labyrinth (20 tiles, 45s)",DivinationCrystalMazeSpell
Divination,Crystal Shield,damage,2,8,,,,,,,,,,Target enemy and cast to deal  damage.,Circle: 2 (8 mana) | [Design] 30 damage absorb shield,DivinationCrystalShieldSpell
Divination,Energy Burst,aoe_damage,3,12,15-26,energy,,,AoE,,,,,Cast at location. All enemies in area take damage.,"Circle: 3 (12 mana) | [Design] 3 tile AoE, 15-26 energy damage",DivinationEnergyBurstSpell
Divination,Fate Shift,utility,7,28,,,,,,,,,,Cast to activate spell effect.,Circle: 7 (28 mana) | [Design] Swap HP/mana values with target,DivinationFateShiftSpell
Divination,Fates Thread,damage,5,20,,,,,,,,,,Target enemy and cast to deal  damage.,"Fate's Thread - Fate's Thread Circle: 5 (20 mana) | [Design] Link two allies, share buffs and damage",DivinationFatesThreadSpell
Divination,Foresight,utility,2,8,,,,,,,,,,Cast to activate spell effect.,Circle: 2 (8 mana) | [Design] Next attack against you misses,DivinationForesightSpell
Divination,Glimpse Future,utility,1,4,,,,,,,,,,Cast to activate spell effect.,Circle: 1 (4 mana) | [Design] See enemy's next action,DivinationGlimpseFutureSpell
Divination,Haste Self,utility,2,8,,,,20s,,,,,,Cast to activate spell effect.,Circle: 2 (8 mana) | [Design] +20% attack/cast speed for 20s,DivinationHasteSelfSpell
Divination,Man a Crystal,utility,3,12,,,,,,,,,,Cast to activate spell effect.,Mana Crystal - Mana Crystal Circle: 3 (12 mana),DivinationManaCrystalSpell
Divination,Mass Foresight,buff,7,28,,,,,,,,,,Cast on friendly target or self. Enhances stats or resistances for the duration.,"Circle: 7 (28 mana) | [Design] Party gains ""avoid next attack"" buff",DivinationMassForesightSpell
Divination,Mass Haste,utility,5,20,,,,30s,,,,,,Cast to activate spell effect.,Circle: 5 (20 mana) | [Design] Party +25% speed for 30s,DivinationMassHasteSpell
Divination,Minor Ward,damage,1,4,,,,,,,+10 damage,,,Target enemy and cast to deal  damage.,Circle: 1 (4 mana) | [Design] +10 damage shield,DivinationMinorWardSpell
Divination,Oracle Ascendant,utility,8,32,,,,,,,Instant Cast,,,Cast to activate spell effect.,"Circle: 8 (32 mana) | [Design] See all futures: auto-dodge attacks, instant cast spells, perfect accuracy",DivinationOracleAscendantSpell
Divination,Oracles Sight,utility,4,16,,,,,,,,,,Cast to activate spell effect.,"Oracle's Sight - Oracle's Sight Circle: 4 (16 mana) | [Design] See all enemies within 25 tiles, their HP/mana",DivinationOraclesSightSpell
Divination,Precognition,detection,3,12,,,,,,,,,,Cast to reveal hidden enemies or objects in area.,"Circle: 3 (12 mana) | [Design] See invisible/hidden, detect traps",DivinationPrecognitionSpell
Divination,Prismatic Apocalypse,damage,8,32,80-145,energy,,,,,,,,Target enemy and cast to deal 80-145 damage.,"Circle: 8 (32 mana) | [Design] Screen-wide, 80-145 energy damage, random status effects",DivinationPrismaticApocalypseSpell
Divination,Prismatic Bolt,damage,2,8,10-17,energy,,,,,,,,Target enemy and cast to deal 10-17 damage.,"Circle: 2 (8 mana) | [Design] 10-17 energy damage, rainbow effect",DivinationPrismaticBoltSpell
Divination,Prismatic Spray,damage,4,16,18-32,,,,,,-32 damage,,,Target enemy and cast to deal 18-32 damage.,"Circle: 4 (16 mana) | [Design] Cone, 18-32 damage, random status effects",DivinationPrismaticSpraySpell
Divination,Prismatic Storm,aoe_damage,6,24,35-58,energy,,,8 tile radius,,,,,Cast at location. All enemies in 8 tile radius take damage.,"Circle: 6 (24 mana) | [Design] 8 tile radius, 35-58 energy damage, rainbow explosions",DivinationPrismaticStormSpell
Divination,Prophecy of Doom,damage,6,24,,,,,,,+30% damage,,,Target enemy and cast to deal  damage.,"Circle: 6 (24 mana) | [Design] Mark enemy, allies deal +30% damage to them",DivinationProphecyofDoomSpell
Divination,Temporal Shield,damage,5,20,,,,1s,,,,,,Target enemy and cast to deal  damage.,"Circle: 5 (20 mana) | [Design] When hit, rewind damage (immune for 1s after hit)",DivinationTemporalShieldSpell
Divination,Temporal Slow,slow,3,12,,,,12s,,,Slow,,,Target enemy. Subject's movement and attack speed are reduced for 12 seconds.,Circle: 3 (12 mana) | [Design] Slow enemy 40% for 12s,DivinationTemporalSlowSpell
Divination,Time Stop,paralyze,6,24,,,,5s,,,Freeze,,,Target enemy. Subject is rooted to the ground and cannot move for 5 seconds.,Circle: 6 (24 mana) | [Design] Freeze enemy for 5s (complete disable),DivinationTimeStopSpell
Divination,Time Warp,heal,4,16,,,,,,,,,,Target friendly player or self. Restores health.,"Circle: 4 (16 mana) | [Design] Rewind to position 3s ago, restore HP/mana to that state",DivinationTimeWarpSpell
Divination,Timeless State,damage,8,32,,,,10s,,,,,,Target enemy and cast to deal  damage.,Circle: 8 (32 mana) | [Design] Party becomes immune to damage for 10s,DivinationTimelessStateSpell
Elemental Magic,Apocalypse,dot,8,32,80-140,,,,,,-140 damage,,,Apply to enemy. Target takes damage over time for the duration.,"Circle: 8 (32 mana) | [Design] Entire screen, 80-140 damage, burns for 20-35/tick",ElementalApocalypseSpell
Elemental Magic,Avatar of Flame,shapeshift,7,28,,,,,,,,,,Cast on self. Caster transforms into different form with new abilities.,"Circle: 7 (28 mana) | [Design] Ultimate transformation: +100% fire damage, immune to fire, mana costs halved",ElementalAvatarofFlameSpell
Elemental Magic,Cataclysm,aoe_damage,7,28,50-85,,,,AoE,,-85 damage,,,Cast at location. All enemies in area take damage.,"Circle: 7 (28 mana) | [Design] Screen-wide AoE, 50-85 damage, creates lava everywhere",ElementalCataclysmSpell
Elemental Magic,Combustion,dot,5,20,30-50,,,,,,-50 damage,,,Apply to enemy. Target takes damage over time for the duration.,"Circle: 5 (20 mana) | [Design] Detonates burning targets, 30-50 damage",ElementalCombustionSpell
Elemental Magic,Ember Burst,damage,2,8,8-15,,,,,,-15 damage,,,Target enemy and cast to deal 8-15 damage.,"Circle: 2 (8 mana) | [Design] Short range cone, 8-15 damage",ElementalEmberBurstSpell
Elemental Magic,Fireball,aoe_damage,2,8,10-18,fire,,,AoE,,,,,Cast at location. All enemies in area take damage.,"Circle: 2 (8 mana) | [Design] 10-18 fire damage, small AoE (2 tiles)",ElementalFireballSpell
Elemental Magic,Flame Bolt,damage,1,4,5-12,fire,,,,,,,,Target enemy and cast to deal 5-12 damage.,Circle: 1 (4 mana) | [Design] 5-12 fire damage,ElementalFlameBoltSpell
Elemental Magic,Flame Pillar,damage,4,16,18-30,,,,,,-30 damage,,,Target enemy and cast to deal 18-30 damage.,"Circle: 4 (16 mana) | [Design] Ground target, 18-30 damage, knockup",ElementalFlamePillarSpell
Elemental Magic,Flame Tempest,dot,6,24,8-15,,,,,,-15 damage,,,Apply to enemy. Target takes damage over time for the duration.,"Circle: 6 (24 mana) | [Design] Tornado of fire, moves randomly, 8-15 damage/tick",ElementalFlameTempestSpell
Elemental Magic,Flame Ward,damage,2,8,,,,,,,,,,Target enemy and cast to deal  damage.,Circle: 2 (8 mana) | [Design] Reflects 10 fire damage on melee hits,ElementalFlameWardSpell
Elemental Magic,He at Shield,utility,1,4,,,,,,,,,,Cast to activate spell effect.,Heat Shield - Heat Shield Circle: 1 (4 mana),ElementalHeatShieldSpell
Elemental Magic,Hellfire Nova,aoe_damage,6,24,35-60,,,,8 tile radius,,-60 damage,,,Cast at location. All enemies in 8 tile radius take damage.,"Circle: 6 (24 mana) | [Design] 8 tile radius, 35-60 damage, ignites all",ElementalHellfireNovaSpell
Elemental Magic,Ignite,dot,3,12,,,,,,,,,,Apply to enemy. Target takes damage over time for the duration.,"Circle: 3 (12 mana) | [Design] Applies burning DoT (5-10/tick, 10s), spreads to nearby",ElementalIgniteSpell
Elemental Magic,Incinerate,damage,3,12,20-35,fire,,,,,,,,Target enemy and cast to deal 20-35 damage.,"Circle: 3 (12 mana) | [Design] 20-35 fire damage, high single target",ElementalIncinerateSpell
Elemental Magic,Inferno,dot,5,20,15-28,,,8s,6 tile radius,,-28 damage,,,Apply to enemy. Target takes damage over time for 8 seconds.,"Circle: 5 (20 mana) | [Design] 6 tile radius, 15-28 damage/tick for 8s",ElementalInfernoSpell
Elemental Magic,Lav a Flow,utility,5,20,,,,,,,,,,Cast to activate spell effect.,Lava Flow - Lava Flow Circle: 5 (20 mana),ElementalLavaFlowSpell
Elemental Magic,Lav a Puddle,utility,2,8,,,,,,,,,,Cast to activate spell effect.,Lava Puddle - Lava Puddle Circle: 2 (8 mana),ElementalLavaPuddleSpell
Elemental Magic,Magm a Armor,buff,4,16,,,,,,,,,,Cast on friendly target or self. Enhances stats or resistances for the duration.,Magma Armor - Magma Armor Circle: 4 (16 mana),ElementalMagmaArmorSpell
