school,spell_name,type,circle,mana,damage,damage_type,healing,duration,area,cooldown,effect_1,effect_2,effect_3,gameplay,description,class_name
Elemental Magic,Magm a Core,utility,8,32,,,,,,,,,,Cast to activate spell effect.,Magma Core - Magma Core Circle: 8 (32 mana),ElementalMagmaCoreSpell
Elemental Magic,Meteor Strike,damage,4,16,25-40,,,,,,-40 damage,,,Target enemy and cast to deal 25-40 damage.,"Circle: 4 (16 mana) | [Design] Falling meteor, 25-40 damage, leaves lava",ElementalMeteorStrikeSpell
Elemental Magic,Molten Titan Form,shapeshift,6,24,,,,,,,+40 STR,+30 Fire Resist,,Cast on self. Caster transforms into different form with new abilities.,"Circle: 6 (24 mana) | [Design] Transform: +40 STR, +30 Fire Resist, immune to ignite",ElementalMoltenTitanFormSpell
Elemental Magic,Molten Touch,utility,1,4,,,,,,,,,,Cast to activate spell effect.,"Circle: 1 (4 mana) | [Design] Melee fire attack, ignites",ElementalMoltenTouchSpell
Elemental Magic,Phoenix Shield,damage,5,20,,,,,,,,,,Target enemy and cast to deal  damage.,"Circle: 5 (20 mana) | [Design] When taking fatal damage, revive at 30% HP (once)",ElementalPhoenixShieldSpell
Elemental Magic,Primordial Inferno,cure,8,32,,,,30s,,,,,,Target friendly player. Removes negative status effects.,"Circle: 8 (32 mana) | [Design] Ultimate DoT: 25-40/tick for 30s, cannot be removed",ElementalPrimordialInfernoSpell
Elemental Magic,Pyroclasm,aoe_damage,4,16,20-35,,,,4 tile radius,,-35 damage,,,Cast at location. All enemies in 4 tile radius take damage.,"Circle: 4 (16 mana) | [Design] 4 tile radius AoE, 20-35 damage",ElementalPyroclasmSpell
Elemental Magic,Pyroclastic Flow,damage,7,28,60-100,,,,,,-100 damage,,,Target enemy and cast to deal 60-100 damage.,"Circle: 7 (28 mana) | [Design] Massive cone (15 tiles), 60-100 damage, lethal ignite",ElementalPyroclasticFlowSpell
Elemental Magic,Ring of Fire,dot,3,12,3-6,,,,,,-6 damage,,,Apply to enemy. Target takes damage over time for the duration.,"Circle: 3 (12 mana) | [Design] Circle around caster, 3-6 damage/tick, blocks movement",ElementalRingofFireSpell
Elemental Magic,Smoke Screen,utility,1,4,,,,,,,-20% accuracy,,,Cast to activate spell effect.,"Circle: 1 (4 mana) | [Design] Creates obscuring smoke, -20% accuracy",ElementalSmokeScreenSpell
Elemental Magic,Solar Flare,damage,8,32,100-160,,,10s,,,-160 damage,,,Target enemy and cast to deal 100-160 damage.,"Circle: 8 (32 mana) | [Design] Blinds all enemies, 100-160 damage, disarms for 10s",ElementalSolarFlareSpell
Elemental Magic,Summ on Fire Elemental Lord,summon,7,28,,,,,,,,,,Cast to summon creature. Summoned creature fights for you.,Summon Fire Elemental Lord - Summon Fire Elemental Lord Circle: 7 (28 mana),ElementalSummonFireElementalLordSpell
Elemental Magic,Volcanic Eruption,aoe_damage,6,24,40-70,,,,AoE,,-70 damage,,,Cast at location. All enemies in area take damage.,"Circle: 6 (24 mana) | [Design] Ground target, massive AoE (10 tiles), 40-70 damage",ElementalVolcanicEruptionSpell
Elemental Magic,Volcanic Rock,paralyze,3,12,15-25,,,,,,-25 damage,,,Target enemy. Subject is rooted to the ground and cannot move for the duration.,"Circle: 3 (12 mana) | [Design] Hurl boulder, 15-25 damage, stuns 1s",ElementalVolcanicRockSpell
Enchanting,Aegis of Warding,damage,5,20,,,,,,,,,,Target enemy and cast to deal  damage.,Circle: 5 (20 mana) | [Design] Absorbs next 100 damage (120s),EnchantingAegisofWardingSpell
Enchanting,Arcane Shield,buff,1,4,,,,60s,,,,,,Cast on friendly target or self. Enhances stats or resistances for 60 seconds.,Circle: 1 (4 mana) | [Design] +5 armor for 60s,EnchantingArcaneShieldSpell
Enchanting,Archmages Blessing,utility,8,32,,,,,,,,,,Cast to activate spell effect.,"Archmage's Blessing - Archmage's Blessing Circle: 8 (32 mana) | [Design] All enchantments last forever, can stack multiple (60s)",EnchantingArchmagesBlessingSpell
Enchanting,Artifact Empowerment,damage,8,32,,,,,,,+100 damage,,,Target enemy and cast to deal  damage.,"Circle: 8 (32 mana) | [Design] Weapon becomes legendary: +100 damage, special effects (300s)",EnchantingArtifactEmpowermentSpell
Enchanting,Detect Magic,detection,1,4,,,,,,,,,,Cast to reveal hidden enemies or objects in area.,"Circle: 1 (4 mana) | [Design] See magical auras, enchanted items",EnchantingDetectMagicSpell
Enchanting,Disenchant,cure,2,8,,,,,,,,,,Target friendly player. Removes negative status effects.,Circle: 2 (8 mana) | [Design] Remove one buff from enemy,EnchantingDisenchantSpell
Enchanting,Elemental Barrier,buff,3,12,,,,,,,,,,Cast on friendly target or self. Enhances stats or resistances for the duration.,Circle: 3 (12 mana) | [Design] +10 to all elemental resists (90s),EnchantingElementalBarrierSpell
Enchanting,Enchant Army,damage,7,28,,,,,,,+20% damage,,,Target enemy and cast to deal  damage.,"Circle: 7 (28 mana) | [Design] All allies gain +20% damage, +15 armor (180s)",EnchantingEnchantArmySpell
Enchanting,Enchant Arrows,damage,4,16,,,,,,,+10 damage,,,Target enemy and cast to deal  damage.,Circle: 4 (16 mana) | [Design] 100 arrows deal +10 damage each,EnchantingEnchantArrowsSpell
Enchanting,Enchant Party Weapons,damage,5,20,,,,,,,+10 damage,,,Target enemy and cast to deal  damage.,Circle: 5 (20 mana) | [Design] All party weapons +10 damage (120s),EnchantingEnchantPartyWeaponsSpell
Enchanting,Flaming Weapon,damage,2,8,,,,90s,,,,,,Target enemy and cast to deal  damage.,Circle: 2 (8 mana) | [Design] Weapon deals +8 fire damage for 90s,EnchantingFlamingWeaponSpell
Enchanting,Fortify Armor,buff,2,8,,,,90s,,,+10 Physical Resist,,,Cast on friendly target or self. Enhances stats or resistances for 90 seconds.,Circle: 2 (8 mana) | [Design] +10 Physical Resist for 90s,EnchantingFortifyArmorSpell
Enchanting,Godly Weapon,damage,7,28,,,,,,,+50 damage,,,Target enemy and cast to deal  damage.,"Circle: 7 (28 mana) | [Design] Weapon +50 damage, triple attack speed, life drain (240s)",EnchantingGodlyWeaponSpell
Enchanting,Greater Disenchant,cure,7,28,,,,,AoE,,,,,Target friendly player. Removes negative status effects.,Circle: 7 (28 mana) | [Design] Remove ALL buffs from all enemies (10 tile AoE),EnchantingGreaterDisenchantSpell
Enchanting,Holy Weapon,damage,5,20,,,,,,,,,,Target enemy and cast to deal  damage.,Circle: 5 (20 mana) | [Design] Weapon deals double damage to undead/demons (180s),EnchantingHolyWeaponSpell
Enchanting,Invincible Armor,damage,8,32,,,,,,,,,,Target enemy and cast to deal  damage.,Circle: 8 (32 mana) | [Design] Armor grants immunity to physical damage (30s),EnchantingInvincibleArmorSpell
Enchanting,Invulnerability,damage,6,24,,,,,,,,,,Target enemy and cast to deal  damage.,Circle: 6 (24 mana) | [Design] Armor grants 50% damage reduction (60s),EnchantingInvulnerabilitySpell
Enchanting,Legendary Weapon,damage,6,24,,,,,,,+25 damage,,,Target enemy and cast to deal  damage.,"Circle: 6 (24 mana) | [Design] Weapon +25 damage, +20% speed, +10% crit (180s)",EnchantingLegendaryWeaponSpell
Enchanting,Lightning Weapon,utility,3,12,,,,,,,,,,Cast to activate spell effect.,Circle: 3 (12 mana) | [Design] Weapon has 25% chance to chain lightning (120s),EnchantingLightningWeaponSpell
Enchanting,Magic Weapon,damage,1,4,,,,60s,,,,,,Target enemy and cast to deal  damage.,Circle: 1 (4 mana) | [Design] +5 weapon damage for 60s,EnchantingMagicWeaponSpell
Enchanting,Mass Disenchant,cure,4,16,,,,,,,,,,Target friendly player. Removes negative status effects.,Circle: 4 (16 mana) | [Design] Remove all buffs from target,EnchantingMassDisenchantSpell
Enchanting,Mass Enchant Weapons,damage,6,24,,,,,,,,,,Target enemy and cast to deal  damage.,Circle: 6 (24 mana) | [Design] All allies' weapons gain element damage (120s),EnchantingMassEnchantWeaponsSpell
Enchanting,Prismatic Barrier,damage,7,28,,,,,,,,,,Target enemy and cast to deal  damage.,"Circle: 7 (28 mana) | [Design] +40 all resists, reflect damage (180s)",EnchantingPrismaticBarrierSpell
Enchanting,Reflection,utility,4,16,,,,,,,,,,Cast to activate spell effect.,Spell Reflection - Spell Reflection Circle: 4 (16 mana),EnchantingSpellReflectionSpell
Enchanting,Rune of Apocalypse,aoe_damage,8,32,150-250,,,,AoE,,-250 damage,,,Cast at location. All enemies in area take damage.,Circle: 8 (32 mana) | [Design] Create rune: Instant AoE 150-250 damage,EnchantingRuneofApocalypseSpell
Enchanting,Rune of Healing,heal,3,12,,,40-60,,,,,,,Target friendly player or self. Restores health.,Circle: 3 (12 mana) | [Design] Create rune: Instant heal 40-60 HP,EnchantingRuneofHealingSpell
Enchanting,Rune of Power,damage,1,4,,,,,,,+10% damage,,,Target enemy and cast to deal  damage.,Circle: 1 (4 mana) | [Design] Create rune: Instant +10% damage (30s),EnchantingRuneofPowerSpell
Enchanting,Rune of Protection,damage,2,8,,,,,,,,,,Target enemy and cast to deal  damage.,Circle: 2 (8 mana) | [Design] Create rune: Instant 50 damage shield,EnchantingRuneofProtectionSpell
Enchanting,Rune of Resurrection,resurrect,6,24,,,,,,,,,,Target dead player. Brings them back to life.,Circle: 6 (24 mana) | [Design] Create rune: Instant self-resurrection,EnchantingRuneofResurrectionSpell
Enchanting,Runic Empowerment,utility,5,20,,,,,,,,,,Cast to activate spell effect.,Circle: 5 (20 mana) | [Design] All stats +15 (90s),EnchantingRunicEmpowermentSpell
Enchanting,Sharpen,buff,3,12,,,,,,,,,,Cast on friendly target or self. Enhances stats or resistances for the duration.,Circle: 3 (12 mana) | [Design] Weapon ignores 15 armor (120s),EnchantingSharpenSpell
Enchanting,Vampiric Weapon,damage,4,16,,,,,,,,,,Target enemy and cast to deal  damage.,Circle: 4 (16 mana) | [Design] Weapon drains 10% damage as HP (120s),EnchantingVampiricWeaponSpell
Hex Magic,Apocalyptic Hex,heal,8,50,8-15,,,30s,30 tile radius,,-20 all stats,-15 damage,Poison,Target friendly player or self. Restores health.,"Apocalyptic Hex - ALL enemies cursed with multiple stacking hexes: -20 all stats, -20 all resists, Deadly Poison, -50% healing, 8-15 damage/tick Circle: 8 (50 mana) | [Design] ALL enemies cursed with multiple stacking hexes: -20 all stats, -20 all resists, Deadly Poison, -50% healing, 8-15 damage/tick | Area: Entire screen (30 tile radius) | Duration: 30 seconds",HexApocalypticHexSpell
Hex Magic,Contagious Hex,dot,3,9,3-5,,,20s,,,-10% attack speed,-5 damage,,Apply to enemy. Target takes damage over time for 20 seconds.,"Contagious Hex - Cursed target spreads hex to allies within 3 tiles (-10% attack speed, 3-5 damage/tick) Circle: 3 (9 mana) | [Design] Cursed target spreads hex to allies within 3 tiles (-10% attack speed, 3-5 damage/tick) | Duration: 20 seconds",HexContagiousHexSpell
Hex Magic,Crippling Curse,debuff,4,11,,,,35s,,,-20 DEX,-30% movement speed,-20% attack speed,Target enemy. Reduces their stats or resistances for 35 seconds.,"Crippling Curse - -20 DEX, -30% movement speed, -20% attack speed Circle: 4 (11 mana) | [Design] -20 DEX, -30% movement speed, -20% attack speed | Duration: 35 seconds",HexCripplingCurseSpell
Hex Magic,Curse of Mortality,buff,6,20,,,,40s,,,,,,Cast on friendly target or self. Enhances stats or resistances for 40 seconds.,"Curse of Mortality - Target loses ALL regeneration (HP/Mana/Stam), -20 all resists, -15% max HP Circle: 6 (20 mana) | [Design] Target loses ALL regeneration (HP/Mana/Stam), -20 all resists, -15% max HP | Duration: 40 seconds",HexCurseofMortalitySpell
Hex Magic,Curse of Undeath,heal,8,50,,,,,,,Poison,,,Target friendly player or self. Restores health.,"Curse of Undeath - Target becomes cursed undead: heals become damage, holy spells deal double damage, cannot naturally regenerate, +50% poison/curse damage taken Circle: 8 (50 mana) | [Design] Target becomes cursed undead: heals become damage, holy spells deal double damage, cannot naturally regenerate, +50% poison/curse damage taken | Duration: Permanent (until death/dispelled)",HexCurseofUndeathSpell
Hex Magic,Curseof the Hag,shapeshift,7,40,,,,,,,-90% damage,,,Cast on self. Caster transforms into different form with new abilities.,"Curse of the Hag - Target polymorphs into weak form (chicken), -90% damage, -50% movement, cannot cast spells Circle: 7 (40 mana)",HexCurseoftheHagSpell
Hex Magic,Dark Pact,damage,2,6,,,,45s,,,,,,Target enemy and cast to deal  damage.,"Dark Pact - Sacrifice 15% current HP, gain +20% spell damage for duration Circle: 2 (6 mana) | [Design] Sacrifice 15% current HP, gain +20% spell damage for duration | Duration: 45 seconds",HexDarkPactSpell
Hex Magic,Doomcurse,cure,6,20,,,,12s,,,,,,Target friendly player. Removes negative status effects.,"Doomcurse - After 12 seconds, target takes massive damage (100-150) unless dispelled. Cannot be removed by normal means. Circle: 6 (20 mana) | [Design] After 12 seconds, target takes massive damage (100-150) unless dispelled. Cannot be removed by normal means. | Duration: 12 seconds",HexDoomcurseSpell
Hex Magic,Dra in Essence,heal,4,11,,,,,,,,,,Target friendly player or self. Restores health.,"Drain Essence - Drains 25-40 HP AND 10-20 mana, heals caster for HP amount and restores mana Circle: 4 (11 mana)",HexDrainEssenceSpell
Hex Magic,Enfeeble,damage,2,6,,,,25s,,,-15 STR,,,Target enemy and cast to deal  damage.,"Enfeeble - -15 STR, -10% physical damage output Circle: 2 (6 mana) | [Design] -15 STR, -10% physical damage output | Duration: 25 seconds",HexEnfeebleSpell
Hex Magic,Evil Eye,utility,1,4,,,,15s,,,-5% accuracy,,,Cast to activate spell effect.,Evil Eye - -5% accuracy Circle: 1 (4 mana) | [Design] -5% accuracy | Duration: 15 seconds,HexEvilEyeSpell
Hex Magic,Hex Storm,slow,6,20,,,,15s,6 tile radius,,,,,Target enemy. Subject's movement and attack speed are reduced for 15 seconds.,"Hex Storm - Zone pulses random hexes every 2s: curses, poisons, slows, silences Circle: 6 (20 mana) | [Design] Zone pulses random hexes every 2s: curses, poisons, slows, silences | Area: 6 tile radius | Duration: 15 seconds",HexHexStormSpell
Hex Magic,Hex of Agony,heal,4,11,,,,15s,,,,,,Target friendly player or self. Restores health.,"Hex of Agony - Whenever target is healed, they take equal damage instead Circle: 4 (11 mana) | [Design] Whenever target is healed, they take equal damage instead | Duration: 15 seconds",HexHexofAgonySpell
Hex Magic,Hex of Frailty,buff,3,9,,,,30s,,,,,,Cast on friendly target or self. Enhances stats or resistances for 30 seconds.,Hex of Frailty - -10 to all resistances Circle: 3 (9 mana) | [Design] -10 to all resistances | Duration: 30 seconds,HexHexofFrailtySpell
Hex Magic,Hex of Silence,utility,5,14,,,,8s,,,Silence,,,Cast to activate spell effect.,Hex of Silence - Target cannot cast spells (silenced) Circle: 5 (14 mana) | [Design] Target cannot cast spells (silenced) | Duration: 8 seconds,HexHexofSilenceSpell
Hex Magic,Hexblade Ritual,damage,7,40,,,,60s,,,,,,Target enemy and cast to deal  damage.,"Hexblade Ritual - Caster's spells deal bonus physical damage equal to 50% of spell damage, melee attacks apply hexes Circle: 7 (40 mana) | [Design] Caster's spells deal bonus physical damage equal to 50% of spell damage, melee attacks apply hexes | Duration: 60 seconds",HexHexbladeRitualSpell
Hex Magic,Life Leech,heal,3,9,,,,,,,,,,Target friendly player or self. Restores health.,"Life Leech - Drains 15-25 HP from target, heals caster for 150% of amount drained Circle: 3 (9 mana) | [Design] Drains 15-25 HP from target, heals caster for 150% of amount drained",HexLifeLeechSpell
Hex Magic,Mass Hex,aoe_damage,5,14,,,,25s,5 tile radius,,-10 all stats,-10% damage,,Cast at location. All enemies in 5 tile radius take damage.,"Mass Hex - All enemies cursed: -10 all stats, -10% damage, -5 all resists Circle: 5 (14 mana) | [Design] All enemies cursed: -10 all stats, -10% damage, -5 all resists | Area: 5 tile radius | Duration: 25 seconds",HexMassHexSpell
Hex Magic,Necrotic Touch,heal,5,14,25-40,,,20s,,,-40 damage,Poison,,Target friendly player or self. Restores health.,"Necrotic Touch - Deals 25-40 damage, reduces healing received by 50% for 20 seconds, applies Deadly Poison Circle: 5 (14 mana) | [Design] Deals 25-40 damage, reduces healing received by 50% for 20 seconds, applies Deadly Poison",HexNecroticTouchSpell
Hex Magic,Plague Bearer,dot,4,11,6-10,poison,,20s,,,Poison,,,Apply to enemy. Target takes damage over time for 20 seconds.,Plague Bearer - Target takes 6-10 poison damage/tick and spreads poison to enemies within 2 tiles Circle: 4 (11 mana) | [Design] Target takes 6-10 poison damage/tick and spreads poison to enemies within 2 tiles | Duration: 20 seconds,HexPlagueBearerSpell
Hex Magic,Plague of Sorrows,heal,7,40,10-18,,,25s,8 tile radius,,-18 damage,,,Target friendly player or self. Restores health.,"Plague of Sorrows - Contagious mega-plague: 10-18 damage/tick, spreads to anyone within 5 tiles, reduces healing 75% Circle: 7 (40 mana) | [Design] Contagious mega-plague: 10-18 damage/tick, spreads to anyone within 5 tiles, reduces healing 75% | Area: 8 tile radius | Duration: 25 seconds",HexPlagueofSorrowsSpell
Hex Magic,Pois on Touch,dot,2,6,5-8,,,,,,-8 damage,Poison,,Apply to enemy. Target takes damage over time for the duration.,Poison Touch - Applies Greater Poison (5-8 damage/tick) Circle: 2 (6 mana),HexPoisonTouchSpell
Hex Magic,Siph on Life,heal,1,4,,,,,,,,,,Target friendly player or self. Restores health.,"Siphon Life - Drains 6-12 HP from target, heals caster for same amount Circle: 1 (4 mana)",HexSiphonLifeSpell
Hex Magic,Soul Harvest,heal,7,40,,,,,6 tile radius,,,,,Target friendly player or self. Restores health.,"Soul Harvest - Drains 40-65 HP from all enemies, heals caster for total amount drained, grants shield equal to healing Circle: 7 (40 mana) | [Design] Drains 40-65 HP from all enemies, heals caster for total amount drained, grants shield equal to healing | Area: 6 tile radius",HexSoulHarvestSpell
Hex Magic,Soul Siphon,heal,5,14,,,,,,,,,,Target friendly player or self. Restores health.,"Soul Siphon - Drains 35-55 HP, heals caster for 200% of amount, grants temporary +10% max HP buff (60s) Circle: 5 (14 mana) | [Design] Drains 35-55 HP, heals caster for 200% of amount, grants temporary +10% max HP buff (60s)",HexSoulSiphonSpell
Hex Magic,Vampiric Aura,heal,6,20,,,,30s,,,,,,Target friendly player or self. Restores health.,"Vampiric Aura - All damage dealt by caster heals caster for 40% of damage, +15% spell damage Circle: 6 (20 mana) | [Design] All damage dealt by caster heals caster for 40% of damage, +15% spell damage | Duration: 30 seconds",HexVampiricAuraSpell
Hex Magic,Voodoo Doll,damage,3,9,,,,25s,,,,,,Target enemy and cast to deal  damage.,Voodoo Doll - Links to target - 25% of damage caster takes is reflected to linked target Circle: 3 (9 mana) | [Design] Links to target - 25% of damage caster takes is reflected to linked target | Duration: 25 seconds,HexVoodooDollSpell
Hex Magic,Voodoo Mastery,charm,8,50,,,,20s,,,Charm,,,Target enemy creature. Subject fights for you temporarily.,"Voodoo Mastery - Controls target's actions (charm), can force them to attack allies or cast spells Circle: 8 (50 mana) | [Design] Controls target's actions (charm), can force them to attack allies or cast spells | Duration: 20 seconds",HexVoodooMasterySpell
Hex Magic,Wasting Curse,debuff,2,6,,,,30s,,,,,,Target enemy. Reduces their stats or resistances for 30 seconds.,Wasting Curse - Target loses 1% max HP every 3 seconds (max 10% loss) Circle: 2 (6 mana) | [Design] Target loses 1% max HP every 3 seconds (max 10% loss) | Duration: 30 seconds,HexWastingCurseSpell
Hex Magic,Weak Curse,debuff,1,4,,,,20s,,,,,,Target enemy. Reduces their stats or resistances for 20 seconds.,Weak Curse - -5 to all stats (STR/DEX/INT) Circle: 1 (4 mana) | [Design] -5 to all stats (STR/DEX/INT) | Duration: 20 seconds,HexWeakCurseSpell
Hex Magic,Witch Queens Dominion,summon,8,50,,,,60s,,,Poison,,,Cast to summon creature. Summoned creature fights for you.,"Witch Queen's Dominion - Become Witch Queen: All hexes cost 50% less mana, hexes last twice as long, life drain heals 300%, immune to curses/poison, summons 3 hex totems that auto-curse enemies Circle: 8 (50 mana) | [Design] Become Witch Queen: All hexes cost 50% less mana, hexes last twice as long, life drain heals 300%, immune to curses/poison, summons 3 hex totems that auto-curse enemies | Duration: 60 seconds",HexWitchQueensDominionSpell
Hex Magic,Witch Sight,detection,1,4,,,,60s,,,,,,Cast to reveal hidden enemies or objects in area.,"Witch Sight - Reveals hidden creatures, see in darkness, detect magic auras Circle: 1 (4 mana) | [Design] Reveals hidden creatures, see in darkness, detect magic auras | Duration: 60 seconds",HexWitchSightSpell
Ice Magic,Absolute Zero,paralyze,7,40,50-80,cold,,3s,6 tile radius,,Freeze,,,Ultimate AoE nuke + CC 6-tile radius = 13x13 tile area,"Absolute Zero - Ultimate AoE nuke Massive cold damage in large area with freeze and frozen ground Circle: 7th (40 mana) Reagents: Arctic Pearl, Frozen Soul, EternalIce (Vystia reagents) | [Design] 50-80 cold damage | Freezes all enemies for 3s, creates frozen ground | Area: 6 tile radius",AbsoluteZeroSpell
Ice Magic,Age,paralyze,8,50,,,,,,,,,,Target enemy. Subject is rooted to the ground and cannot move for the duration.,"Ice Age - Screen-wide devastation Everything freezes across massive area Circle: 8th (50 mana) Reagents: Frozen Soul, EternalIce, HeartOfWinter, FrozenOre (Vystia reagents)",IceAgeSpell
Ice Magic,Avalanche,slow,6,20,30-50,cold,,,8 tile cone,,Slow,Knockback,,Cone AoE knockback spell Targets in 45° cone in front of you,"Avalanche - Cone AoE with knockback Massive ice and snow cascade dealing damage and knocking back enemies Circle: 6th (20 mana) Reagents: Permafrost Essence, Arctic Pearl, Frozen Soul (Vystia reagents) | [Design] 30-50 cold damage | Knockback 3 tiles, applies slow | Area: 8 tile cone (45° angle)",AvalancheSpell
Ice Magic,Blizzard,paralyze,6,20,,,,10s,5 tile radius,,,,,Target enemy. Subject is rooted to the ground and cannot move for 10 seconds.,"Blizzard - AoE ice storm that deals damage over time and slows enemies Circle: 6th (20 mana) Area: 5 tile radius Duration: 10 seconds Reagents: MandrakeRoot, SulfurousAsh, Bloodmoss, SpidersSilk",BlizzardSpell
Ice Magic,Bolt,paralyze,3,9,,,,,,,Slow,,,Target enemy. Subject is rooted to the ground and cannot move for the duration.,"Ice Bolt - Basic ice damage spell Deals cold damage and has chance to slow target Circle: 3rd (9 mana) Reagents: MandrakeRoot, SulfurousAsh",IceBoltSpell
Ice Magic,Chill Aura,slow,1,4,,,,20s,2 tile radius,,,,,Creates defensive aura around you Automatically affects any enemy that comes within 2 tiles,Chill Aura - Creates a chilling aura around caster Enemies within 2 tiles have reduced attack speed Circle: 1st (4 mana) Reagents: Winterleaf (Vystia reagent) | [Design] Enemies within range are slowed | Area: 2 tile radius around caster | Duration: 20 seconds,ChillAuraSpell
